thetas version times mems
10 0.2.4 544.62 10656
10 0.2.4 500.2 10672
10 0.2.4 496.54 10656
10 0.2.4 499.51 10640
10 0.2.4 502.02 10688
10 0.2.4 512.13 10672
10 0.2.4 517.47 10672
10 0.2.4 500.52 10640
10 0.2.4 513.27 10592
10 0.2.4 498.09 10640
10 0.2.4 520.67 10592
10 0.2.4 504.9 10656
10 0.2.4 509.96 10672
10 0.2.4 504.69 10688
10 0.2.4 532.08 10592
10 0.2.4 499.21 10672
10 0.2.4 535.51 10656
10 0.2.4 492.55 10608
10 0.2.4 526.57 10592
10 0.2.4 502.69 10656
10 0.2.4 512.05 10656
10 0.2.4 493.73 10656
10 0.2.4 520.89 10576
10 0.2.4 491.52 10640
10 0.2.4 521.62 10576
10 0.2.4 453.1 10640
10 0.2.4 516.51 10640
10 0.2.4 491.3 10704
10 0.2.4 511.58 10640
10 0.2.4 511.96 10672
10 0.2.4 521.58 10656
10 0.2.4 514.58 10736
10 0.2.4 526.01 10688
10 0.2.4 531.38 10672
10 0.2.4 521.01 10592
10 0.2.4 527.26 10592
10 0.2.4 531.32 10672
10 0.2.4 531.31 10672
10 0.2.4 521.81 10624
10 0.2.4 527.41 10656
10 0.2.4 514.76 11056
10 0.2.4 488.42 10672
10 0.2.4 520.46 10640
50 0.2.5 525.62 12576
50 0.2.5 518.77 12256
50 0.2.5 522.6 12480
50 0.2.5 514.51 12464
50 0.2.5 513.08 12128
50 0.2.5 516.25 12288
50 0.2.5 522.76 12480
50 0.2.5 515.77 12256
50 0.2.5 515.96 12192
50 0.2.5 509.8 12176
50 0.2.5 519.38 12448
50 0.2.5 502.78 12160
50 0.2.5 521.14 12224
50 0.2.5 539.35 12176
50 0.2.5 513.08 12000
50 0.2.5 535.19 12352
50 0.2.5 518.87 12352
50 0.2.5 532.93 11952
50 0.2.5 519.57 12512
50 0.2.5 542.51 12304
50 0.2.5 510.05 12560
50 0.2.5 539.25 12288
50 0.2.5 518.85 12272
50 0.2.5 547.58 12656
50 0.2.5 519.04 12528
50 0.2.5 541.06 12336
50 0.2.5 517.36 12448
50 0.2.5 555.68 12480
50 0.2.5 509.69 12768
50 0.2.5 534.31 12144
50 0.2.5 518.58 12016
50 0.2.5 540.84 12080
50 0.2.5 516.47 12256
50 0.2.5 537.92 12512
50 0.2.5 517.08 12416
50 0.2.5 534.63 12144
50 0.2.5 513.95 12336
50 0.2.5 531.75 12128
50 0.2.5 524.25 12448
50 0.2.5 538.39 12272
50 0.2.5 515.62 12224
50 0.2.5 537.92 12288
50 0.2.5 519.53 12240
50 0.2.5 535.25 12128
50 0.2.5 519.57 12368
